Points;Local;Goals;xG;Shots on target;Passes ;Pass %;Possession, %;Losses ;Recoveries ;Duels won %;Penalty area entries (runs / crosses);Conceded goals;Shots against / on target;Aerial duels won %;Forward passes;Back passes ;% of all Passes Forward ;% of all passes Back
0;1;1;0.78;3;342;81.29;40.94;96;82;43.98;19;3;9;23.81;121;56;0.35;0.16
0;0;2;1.26;4;390;82.82;41.6;102;76;44.62;18;5;14;41.86;124;63;0.32;0.16
3;0;3;1.22;4;258;69.77;31.15;124;68;49.07;15;1;9;50;101;47;0.39;0.18
3;1;2;1.11;4;218;69.72;28.32;109;91;42.72;14;1;12;40.91;87;36;0.40;0.17
0;1;0;1.26;1;389;84.83;48.36;109;81;42.86;20;2;15;41.94;122;49;0.31;0.13
3;0;1;0.61;1;235;70.64;24.14;115;84;40.38;5;0;22;42.42;109;37;0.46;0.16
3;1;1;0.4;3;176;68.18;23.82;89;70;37.07;7;0;19;36.67;79;25;0.45;0.14
0;0;0;0.51;1;357;80.11;41.15;111;76;44.04;21;3;20;45.24;127;54;0.36;0.15
3;1;3;2.29;5;335;79.4;43.85;108;63;42.37;29;0;17;32.14;108;58;0.32;0.17
3;1;2;1.17;3;573;82.72;52.44;126;88;50;26;1;9;52.27;147;62;0.26;0.11
0;0;0;0.37;1;293;79.86;33.47;100;71;42.51;17;1;19;37.21;107;37;0.37;0.13
3;1;2;1.59;7;289;76.82;36.05;95;110;45.91;19;0;16;47.06;129;43;0.45;0.15
3;1;2;2.26;3;266;72.18;36.95;128;95;48.46;19;1;14;39.47;113;38;0.42;0.14
0;0;0;0.72;3;348;78.74;42.75;118;91;47.44;20;1;10;47.22;131;51;0.38;0.15
3;0;3;2.18;11;351;79.77;36.28;118;86;42.63;28;2;10;37.5;122;57;0.35;0.16
3;1;2;1.04;5;389;78.41;47.56;117;92;46.37;33;1;7;34.78;132;72;0.34;0.19
0;0;0;0.93;2;457;80.74;48.38;109;86;44.44;32;1;8;53.33;146;74;0.32;0.16
3;0;2;1.21;9;366;84.7;41.27;92;72;47.3;22;1;12;56.41;114;66;0.31;0.18
