Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Casa Ryda,ES,Smart TV,0,barga,,select,suggestion_results,2023-11-17 18:06:05
Casa Ryda,ES,Smart TV,0,rogan,Joe Rogan: Strange Times,play,title_results,2023-11-17 17:55:42
Casa Ryda,ES,Smart TV,0,rogan,Joe Rogan: Strange Times,select,title_results,2023-11-17 17:55:40
Casa Ryda,ES,Smart TV,0,rogan,Joe Rogan: Triggered,select,title_results,2023-11-17 17:55:36
Casa Ryda,ES,Smart TV,0,rogan,Seth Rogen's Hilarity for Charity,play,title_results,2023-11-17 17:55:17
Casa Ryda,ES,Smart TV,0,rogan,Seth Rogen's Hilarity for Charity,select,title_results,2023-11-17 17:55:15
Casa Ryda,ES,Smart TV,0,stand,Theo Von: Regular People,play,suggestion_results,2023-11-17 17:50:42
Casa Ryda,ES,Smart TV,0,stand,Theo Von: Regular People,play,suggestion_results,2023-11-17 17:49:03
Casa Ryda,ES,Smart TV,0,stand,Theo Von: Regular People,select,suggestion_results,2023-11-17 17:49:01
Casa Ryda,ES,Smart TV,0,stand,,select,suggestion_results,2023-11-17 17:48:44
Casa Ryda,ES,Smart TV,0,stand,,select,suggestion_results,2023-11-17 17:48:25
Casa Ryda,ES,iPhone,0,selling,,select,title_results,2023-11-16 04:41:07
Casa Ryda,ES,Smart TV,0,s,,play,title_results,2023-11-15 16:47:59
Casa Ryda,ES,Smart TV,0,s,,select,title_results,2023-11-15 15:24:09
Casa Ryda,ES,HTML 5,0,jonah hill,,select,suggestion_results,2023-11-14 20:33:03
Casa Ryda,ES,HTML 5,0,seth rog,,select,suggestion_results,2023-11-14 20:32:39
Casa Ryda,ES,Smart TV,0,azi,Aziz Ansari Live at Madison Square Garden,play,suggestion_results,2023-11-14 18:56:54
Casa Ryda,ES,Smart TV,0,azi,Aziz Ansari Live at Madison Square Garden,select,suggestion_results,2023-11-14 18:56:51
Casa Ryda,ES,Smart TV,0,azi,,select,suggestion_results,2023-11-14 18:56:38
Casa Ryda,ES,Smart TV,0,k,,play,title_results,2023-11-09 17:46:57
Casa Ryda,ES,Smart TV,0,k,,play,title_results,2023-11-09 17:46:26
Casa Ryda,ES,Smart TV,0,k,,select,title_results,2023-11-09 17:46:24
Casa Ryda,ES,Smart TV,0,sell,,play,title_results,2023-11-03 08:55:23
